t,x,y,label
49,850.387,1020.652,0
50,856.175,1015.389,0
51,861.964,1010.126,0
52,867.752,1004.862,0
53,873.54,999.599,0
54,879.328,994.336,0
55,885.117,989.073,0
56,890.905,983.809,0
57,896.693,978.546,0
58,902.482,973.283,0
58,550.805,1009.593,-1
59,908.27,968.02,0
59,552.25,1006.996,-1
60,914.058,962.756,0
60,553.696,1004.4,-1
61,919.847,957.493,0
61,555.141,1001.803,-1
62,925.635,952.23,0
62,556.587,999.206,-1
63,931.423,946.967,0
63,558.032,996.61,-1
64,937.211,941.703,0
64,559.478,994.013,-1
65,943.0,936.44,0
65,560.923,991.416,-1
66,948.788,931.177,0
66,562.369,988.82,-1
67,954.659,925.835,0
67,563.814,986.223,-1
68,960.529,920.493,0
68,565.259,983.626,-1
69,966.4,915.152,0
69,566.705,981.03,-1
70,972.271,909.81,0
70,568.15,978.433,-1
71,978.141,904.468,0
71,569.596,975.836,-1
72,984.012,899.126,0
72,571.041,973.24,-1
73,989.883,893.784,0
73,572.487,970.643,-1
74,995.754,888.443,0
74,573.932,968.046,-1
75,1001.624,883.101,0
75,575.378,965.45,-1
76,1007.495,877.759,0
76,576.823,962.853,-1
77,1013.166,872.5,0
77,578.507,959.428,-1
78,1018.836,867.242,0
78,580.19,956.003,-1
